# csv2chart.title=Multiple Eval vs. Single Compile + Multiple Eval
n, Multi Eval, Compile Multi Eval
225, 1.6534537, 1.457661
226, 1.5836067999999999, 1.5537401
227, 1.6809895999999998, 1.4697103
228, 1.7087625, 1.4680117
229, 1.5909153999999999, 1.6823329
230, 1.6433402999999998, 1.5509747
231, 1.7232612, 1.441977
232, 1.787933, 1.7014539
233, 1.6369797, 1.6010684000000002
234, 1.568239, 1.4708165
235, 1.7224315000000001, 1.7504811
236, 1.8853158, 1.6053353000000001
237, 1.6301847999999999, 1.4995376
238, 1.6983328, 1.5004461
239, 1.7197848, 1.5281005
240, 1.6232316, 1.6303031000000001
241, 1.610471, 1.5280215
242, 1.7845749999999998, 1.5155375
243, 1.6231131, 1.6487919999999998
244, 1.6508068999999999, 1.6727723
245, 1.6941058000000002, 1.5423228999999998
246, 1.7915281, 1.5661450000000001
247, 1.7248021000000002, 1.7016120000000001
248, 1.7033107, 1.6094044
249, 1.9496711999999998, 1.6737995
250, 1.8460071, 1.5988562
251, 1.6784217000000001, 1.6705206000000001
252, 1.6448809, 1.6924464000000001
253, 1.6861650000000001, 1.5929304
254, 1.8512219, 1.5480513
255, 1.8411084, 1.562392
256, 1.7195083, 1.6651081
257, 1.70497, 1.5921401
258, 1.7927921999999998, 1.5396759
259, 1.7976515, 1.5560711
260, 1.7492170000000002, 1.6593797
261, 1.9739678, 1.8492070999999999
262, 1.7160315000000002, 1.7281994
263, 1.9037652, 1.6399426
264, 1.8266097, 1.6411278
265, 1.9999234000000001, 1.9085059000000002
266, 1.7541947, 1.6989253999999998
267, 1.7824811, 1.6366637000000002
268, 1.8903725000000002, 1.6613551999999998
269, 1.9028962, 1.6420759
270, 1.7133451999999998, 1.7666787
271, 1.7889997000000002, 1.7657701
272, 1.7680218, 1.6170686
273, 1.8715675999999999, 1.6470932999999999
274, 1.9282195999999998, 1.7125945999999999
275, 1.9954987, 1.6544809
276, 1.8258591, 1.8489307
277, 1.7707477999999999, 1.8248712999999999
278, 1.8510639999999998, 1.9139974
279, 1.9041207, 1.6903527
280, 1.9369506, 1.7103822999999998
281, 1.9896519000000001, 1.6782636
282, 1.8108071, 1.8450195
283, 1.880338, 1.8017998
284, 1.8602292999999999, 1.8149158
285, 1.8588861, 1.7132266999999999
286, 1.9647628999999998, 1.6943822000000002
287, 2.1032717, 1.7357057
288, 1.9893356, 1.6964367
289, 1.9141552999999998, 2.0024123
290, 1.9229256, 1.8650096
291, 1.9035677, 1.8567132999999998
292, 1.8836566000000001, 2.1710247
293, 2.1496519, 2.1822447
294, 2.5586995000000003, 2.3945905
295, 2.5259882, 1.9858987
296, 2.0429852, 1.6970687000000002
297, 1.9950641, 1.7584613999999998
298, 1.9290887, 1.9004467000000003
299, 1.8627182999999998, 1.9187382
300, 1.9729406, 1.8238048
301, 1.9670147, 1.8768614
302, 1.9871233, 1.8640615
303, 1.9456813, 1.7777009
304, 2.031963, 1.8191034
305, 2.3756275, 1.7871428000000003
306, 2.1037457, 1.8312712999999998
307, 2.0114593, 1.7988761
308, 2.1052865, 1.88417
309, 2.1041406, 1.7350736999999998
310, 2.0596962999999997, 1.835775
311, 1.9565850999999999, 1.8891085
312, 1.9151429, 1.8861456
313, 1.9866888, 1.9373849
314, 1.9652764, 1.9744024
315, 2.1106988, 1.9300761999999998
316, 1.9789455, 1.9036863
317, 1.9836863999999998, 1.9292072
318, 2.2562398000000004, 1.9555578
319, 1.9987777000000002, 2.1861556
320, 2.3302745000000002, 2.0655432
321, 2.2722791, 1.9139576000000003
322, 2.2440716, 1.8953899
323, 2.2025113999999997, 1.8752416
324, 2.2560422, 1.9605357
325, 2.1729607, 2.0497406000000002
326, 2.3278645, 1.9718740000000001
327, 2.2535138, 1.9525158999999999
328, 2.2973656, 1.9686344999999998
329, 2.2105705, 2.0480418
330, 2.3294844, 1.9585602000000002
331, 2.2393705, 1.9389256
332, 2.2189064, 1.9088615
333, 2.4053363, 1.9404665
334, 2.1863926, 1.8965751000000002
335, 2.1912914, 1.922412
336, 2.1825606, 1.9294443000000001
337, 2.2615729, 2.0916568
338, 2.3372669, 1.9894937
339, 2.3391237, 1.8693553
340, 2.2229755, 1.9119035
341, 2.1554593, 2.2602298999999997
342, 2.0515976, 2.1518246999999997
343, 2.2456125, 2.1998643
344, 2.1587383, 2.1213657
345, 2.2538298, 2.1120025
346, 2.1885261, 2.1769507
347, 2.3067288, 2.2063037000000003
348, 2.2164175, 2.1267384
349, 2.3143534, 2.2573063
350, 2.1926742, 2.0671233
351, 2.1438444, 2.7166452
352, 2.2918744, 1.9360023000000002
353, 2.2423731, 2.0557061
354, 2.2283087999999998, 2.0386789
355, 2.3089806, 2.0147776
356, 2.3873211999999997, 2.0107482
357, 2.2943632999999997, 2.0224026
358, 2.2904915, 2.2038543
359, 2.5967043, 2.2870151
360, 2.88427, 2.2368422
361, 2.4196768, 2.2115581
362, 2.3139188, 2.1048913
363, 2.2812868, 2.2752026
364, 2.6411487, 2.1365359
365, 2.4863634, 2.0885357
366, 2.4212966000000002, 2.1095531000000003
367, 2.3567041, 2.2537903
368, 2.4639634999999998, 2.2184718
369, 2.4455931, 2.3971978
